1762914044,102a1fa,50,34,0.68
1762918885,102a1fa,60,52,0.866667
1762920363,102a1fa,45,34,0.755556
1762922596,102a1fa,54,40,0.740741
1762923541,102a1fa,63,52,0.825397
1762925978,102a1fa,47,32,0.680851
1762927005,102a1fa,0,0,-nan
1762930290,102a1fa,0,0,-nan
1762933005,102a1fa,64,56,0.875
1762934206,102a1fa,34,26,0.764706
1762937289,102a1fa,41,32,0.780488
1762938349,102a1fa,57,39,0.684211
1762940398,102a1fa,60,49,0.816667
1762941404,102a1fa,62,54,0.870968
1762944259,102a1fa,0,0,-nan
1762945187,102a1fa,0,0,-nan
1762947219,102a1fa,43,37,0.860465
1762948602,102a1fa,56,44,0.785714
1762952905,102a1fa,0,0,-nan
1762955431,102a1fa,39,31,0.794872
1762958547,102a1fa,26,19,0.730769
1762959608,102a1fa,53,45,0.849057
1762962052,102a1fa,59,50,0.847458
1762963172,102a1fa,47,37,0.787234
1762966167,102a1fa,45,39,0.866667
1762969138,102a1fa,0,0,-nan
1762970187,102a1fa,29,21,0.724138
1762973187,102a1fa,46,40,0.869565
1762974105,102a1fa,44,38,0.863636
1762975970,102a1fa,70,58,0.828571
1762977388,102a1fa,29,26,0.896552
1762979958,102a1fa,48,42,0.875
1762981004,102a1fa,50,41,0.82
1762983351,102a1fa,52,44,0.846154
1762984604,102a1fa,41,33,0.804878
