1741053847,102a1fa,41,17,0.414634
1741057677,102a1fa,40,19,0.475
1741059947,102a1fa,44,19,0.431818
1741060664,102a1fa,35,13,0.371429
1741063172,102a1fa,49,23,0.469388
1741064189,102a1fa,45,18,0.4
1741066586,102a1fa,38,17,0.447368
1741067807,102a1fa,41,16,0.390244
1741070673,102a1fa,46,19,0.413043
1741071453,102a1fa,34,19,0.558824
1741073581,102a1fa,42,25,0.595238
1741074974,102a1fa,28,16,0.571429
1741077608,102a1fa,41,24,0.585366
1741078765,102a1fa,34,12,0.352941
1741080946,102a1fa,45,20,0.444444
1741082186,102a1fa,42,20,0.47619
1741084831,102a1fa,28,14,0.5
1741085797,102a1fa,45,18,0.4
1741087859,102a1fa,47,24,0.510638
1741089376,102a1fa,32,15,0.46875
1741093134,102a1fa,35,21,0.6
1741095594,102a1fa,44,16,0.363636
1741096607,102a1fa,39,19,0.487179
1741099077,102a1fa,43,18,0.418605
