1755052044,102a1fa,53,45,0.849057
1755056893,102a1fa,45,36,0.8
1755059014,102a1fa,58,42,0.724138
1755061421,102a1fa,52,38,0.730769
1755063676,102a1fa,69,57,0.826087
1755064776,102a1fa,58,51,0.87931
1755067939,102a1fa,43,31,0.72093
1755070711,102a1fa,45,36,0.8
1755071810,102a1fa,47,34,0.723404
1755074997,102a1fa,42,34,0.809524
1755078104,102a1fa,45,36,0.8
1755079125,102a1fa,43,29,0.674419
1755081916,102a1fa,37,24,0.648649
1755082783,102a1fa,28,21,0.75
1755084918,102a1fa,49,35,0.714286
1755086232,102a1fa,68,59,0.867647
1755090510,102a1fa,30,22,0.733333
1755093256,102a1fa,55,42,0.763636
1755097214,102a1fa,33,29,0.878788
1755099416,102a1fa,47,40,0.851064
1755100587,102a1fa,0,0,-nan
1755103306,102a1fa,36,31,0.861111
1755104422,102a1fa,32,21,0.65625
1755106546,102a1fa,41,33,0.804878
1755107825,102a1fa,43,34,0.790698
1755111022,102a1fa,42,35,0.833333
1755113584,102a1fa,45,31,0.688889
1755114994,102a1fa,41,31,0.756098
1755117641,102a1fa,54,43,0.796296
1755118725,102a1fa,53,44,0.830189
1755122231,102a1fa,58,43,0.741379
1755124744,102a1fa,59,44,0.745763
