1754275922,102a1fa,44,38,0.863636
1754280891,102a1fa,40,26,0.65
1754284392,102a1fa,54,41,0.759259
1754287115,102a1fa,45,31,0.688889
1754290969,102a1fa,48,36,0.75
1754293692,102a1fa,44,30,0.681818
1754294688,102a1fa,61,43,0.704918
1754297547,102a1fa,63,48,0.761905
1754301322,102a1fa,64,47,0.734375
1754304649,102a1fa,66,50,0.757576
1754307515,102a1fa,45,31,0.688889
1754308666,102a1fa,51,39,0.764706
1754313245,102a1fa,49,33,0.673469
1754315969,102a1fa,41,30,0.731707
1754319054,102a1fa,38,24,0.631579
1754322332,102a1fa,61,46,0.754098
1754323443,102a1fa,45,31,0.688889
1754329650,102a1fa,57,36,0.631579
1754330561,102a1fa,40,27,0.675
1754333752,102a1fa,53,40,0.754717
1754336203,102a1fa,30,23,0.766667
1754337427,102a1fa,36,29,0.805556
1754340278,102a1fa,31,23,0.741935
1754341194,102a1fa,54,36,0.666667
1754343591,102a1fa,37,26,0.702703
1754344757,102a1fa,48,41,0.854167
1754347489,102a1fa,55,39,0.709091
1754348557,102a1fa,36,24,0.666667
