1728352784,102a1fa,31,14,0.451613
1728356716,102a1fa,53,16,0.301887
1728358887,102a1fa,47,16,0.340426
1728359797,102a1fa,40,13,0.325
1728362287,102a1fa,27,9,0.333333
1728363365,102a1fa,36,15,0.416667
1728365776,102a1fa,21,8,0.380952
1728366974,102a1fa,48,18,0.375
1728369772,102a1fa,27,11,0.407407
1728370624,102a1fa,44,11,0.25
1728372784,102a1fa,46,14,0.304348
1728374171,102a1fa,19,7,0.368421
1728376816,102a1fa,36,16,0.444444
1728377864,102a1fa,32,12,0.375
1728380111,102a1fa,40,21,0.525
1728381395,102a1fa,32,12,0.375
1728383952,102a1fa,44,25,0.568182
1728384993,102a1fa,19,9,0.473684
1728387116,102a1fa,28,8,0.285714
1728388581,102a1fa,24,11,0.458333
1728392115,102a1fa,43,19,0.44186
1728394661,102a1fa,0,0,-nan
1728395780,102a1fa,0,0,-nan
1728398316,102a1fa,0,0,-nan
1728399400,102a1fa,0,0,-nan
1728401756,102a1fa,0,0,-nan
1728403002,102a1fa,0,0,-nan
1728405716,102a1fa,0,0,-nan
1728406721,102a1fa,0,0,-nan
1728408961,102a1fa,0,0,-nan
1728410172,102a1fa,0,0,-nan
1728412868,102a1fa,0,0,-nan
1728413789,102a1fa,0,0,-nan
1728415572,102a1fa,0,0,-nan
1728417375,102a1fa,0,0,-nan
1728419402,102a1fa,38,13,0.342105
1728420967,102a1fa,0,0,-nan
1728423224,102a1fa,31,10,0.322581
1728424586,102a1fa,36,11,0.305556
1728427017,102a1fa,39,17,0.435897
1728428196,102a1fa,17,8,0.470588
1728430407,102a1fa,19,9,0.473684
1728431766,102a1fa,28,8,0.285714
